County,State,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area
Raleigh County,WV,78241,78859,-0.8,6.2,21.2,18.2,49.9,88.7,8.2,0.3,1,0,1.7,1.5,87.6,7849,1.7,81.3,17,36015,9.6,73.1,93900,91,31364,2.4,86.8,4.3,23.9,40758,21837,17.1,1442,0,0,12608,16039,130.3,605.35
Bates County,MO,16584,17049,-2.7,5.9,24.1,18.7,50.6,96.4,1.1,0.8,0.2,0,1.5,2.2,94.6,1129,0.8,83.9,11.9,7809,8,73.8,99400,1,6832,2.42,88.6,2.6,28.5,38579,21047,18.6,123,0,774,1354,7994,20.4,836.69
Catahoula Parish,LA,10151,10407,-2.5,6.1,22.3,15.7,46.9,66.4,32.2,0.4,0.1,0,1,1.3,65.2,692,1,69.3,11.2,4904,2.8,77.1,68500,8,3767,2.52,84.2,2,35.4,36165,19970,21.8,49,0,1930,526,5037,14.7,708.03
Sevier County,TN,95110,89889,5.8,5.5,21.1,17.7,50.9,95.8,1.2,0.5,1.2,0,1.2,5.6,90.8,7284,5.2,82.3,15,56271,16.8,66.8,159400,60,36815,2.45,83.9,6.8,25.5,43649,22242,14.5,6119,3415,0,16410,19548,151.7,592.5
Randolph County,GA,7313,7719,-5.3,5.7,20.6,20.9,53.4,37.7,60.9,0.1,0.5,0.1,0.7,2.1,36.3,576,3,72.3,17.4,4100,3.4,71.2,70300,0,3020,2.38,88.2,2.9,19.4,30023,18094,25.4,38,0,416,443,6087,18,428.24
White County,IL,14374,14665,-2,6.5,21.7,21.8,51.4,97.9,0.6,0.3,0.3,0,0.8,1.3,96.9,1374,1.4,85.4,14.3,7125,8.8,78.6,72200,1,6240,2.28,87.4,1.5,24.9,42914,25375,15.6,114,0,4002,1231,8392,29.6,494.77
Andrew County,MO,17379,17291,0.5,5.2,22.9,17.5,50.5,97,0.8,0.3,0.5,0,1.3,2.2,95.1,1496,0.4,90.3,22,7282,11.5,76.7,127700,4,6691,2.55,88.5,1.3,23.3,54336,25302,8.2,44,0,368,799,4751,40,432.7
Archuleta County,CO,12244,12084,1.3,4.9,18.3,22.9,49.9,92.7,0.5,3.3,1.1,0.1,2.4,18.6,76.9,1162,3.3,91.7,32.9,8943,12.6,73.7,279700,75,4881,2.45,87.7,10.7,19.6,48933,29793,9.7,331,0,87,1426,11435,8.9,1350.18
Pulaski County,IL,5815,6161,-5.6,5.1,21.9,20.2,51.9,64.7,32.3,0.5,0.2,0.1,2.2,1.9,63.6,552,1.7,80.2,12,3129,11.6,78.1,55300,3,2419,2.45,89,2.5,28.4,33717,19867,18.8,0,0,0,318,4941,30.9,199.19
Merrick County,NE,7766,7845,-1.1,5.6,23.3,18.8,50.1,96.6,0.5,0.6,1,0.1,1.2,4,93,822,1.3,90.7,17,3758,6.5,72.7,85300,24,3316,2.29,87.5,3.1,19.2,50859,24639,12.6,38,0,2087,455,6009,16.2,484.88
Morgan County,IL,34929,35547,-1.7,5.2,20.1,18.3,49.4,91,6.4,0.3,0.5,0,1.7,2.3,89.1,2997,1.8,88.1,20.7,15411,16.9,69.9,91000,2,13926,2.32,81,3,18.8,46809,24337,14.4,444,0,4255,4030,11399,62.5,568.79
Apache County,AZ,71828,71518,0.4,7.6,29.3,13.5,50.6,23.4,0.9,73.5,0.4,0.1,1.8,6.4,19,4109,1.7,74.5,10.4,32651,5.8,76.5,83100,38,19055,3.7,91.7,57,30,31476,12709,36.2,477,0,181,2768,3997,6.4,11197.52
Linn County,KS,9502,9656,-1.6,5,23.3,20.9,50.5,96.3,0.8,0.7,0.4,0,1.8,2.3,94.1,928,0.6,89,14.2,5446,3.1,81,98000,42,4234,2.24,91.2,1.5,34.4,45519,26224,12.9,12,0,43,477,4981,16.3,594.06
Chambers County,TX,38145,35096,8.7,6.7,27.7,10.8,49.7,87.3,9,1.1,1.3,0.1,1.3,21.3,67.8,2277,8.5,85,18,14418,4.1,82.9,144900,377,12147,2.9,86.9,17.8,31.5,72489,30140,9.7,314,0,1372,2749,9540,58.8,597.14
Mellette County,SD,2100,2048,2.5,9.4,30.8,15.6,47.2,41.6,0.3,52.4,0.3,0,5.4,3,40.3,156,0.5,86,16.8,835,2.8,66.8,54100,2,698,2.92,90.9,13.2,21.6,35109,15760,36.6,0,0,0,92,4529,1.6,1307.31
Pope County,MN,10984,10995,-0.1,5.8,21.2,22.7,49.3,97.5,0.5,0.4,0.5,0,1,1.2,96.6,988,0.7,92.1,20.5,6544,10.1,79.7,148000,45,4758,2.26,90.5,2.3,19.3,52350,29128,9.2,125,826,3055,1034,9428,16.4,669.71
Chelan County,WA,74588,72453,2.9,6.8,24.2,17.5,50.1,93.8,0.8,1.8,1.2,0.2,2.1,27.4,68.6,5741,11.8,83.2,23.9,36243,18.4,65.2,254500,304,27220,2.63,90.1,24.2,18.1,51354,25893,13.2,1712,0,7883,10220,14460,24.8,2920.53
Orleans Parish,LA,384320,343829,11.8,6.1,20.4,12.1,52.2,35.3,59.8,0.4,3,0.1,1.5,5.5,31.2,19685,5.9,84.5,33.7,192445,41.4,47.3,183700,1026,148398,2.32,81.7,9.8,23,37146,26500,27.3,21481,30889,19384,27180,9434,2029.4,169.42
Lee County,AL,154255,140247,9.9,5.8,21.6,10.3,50.7,70.9,23.7,0.4,3.3,0.1,1.5,3.9,67.7,10045,5.1,86.7,32.5,65566,23.8,61.7,146900,943,55864,2.49,76.4,6.9,21.4,43542,23506,22,2012,0,0,14516,11099,230.8,607.54
White Pine County,NV,10034,10030,0,6.3,21.5,15.1,42.7,86.8,4.8,4.7,1.1,0.2,2.5,14.9,73.5,1168,2.4,86,13.8,4436,6.8,70.9,113800,3,3357,2.74,83,5.9,21.4,48586,24435,12.9,220,0,0,888,9748,1.1,8875.65
Martin County,KY,12537,12929,-3,5.4,20.6,13.3,44.2,91.6,7.2,0.4,0.2,0,0.6,3.2,88.5,645,0.9,71.5,7.5,5153,6.9,66,84400,0,4449,2.55,89.2,2.9,34.6,26261,15525,35.1,49,0,1236,1080,8149,56.3,229.61
Blair County,PA,125955,127089,-0.9,5.5,20.6,19.3,51.2,95.9,1.9,0.1,0.7,0,1.3,1.2,95,12862,1.2,90.9,18.4,56064,18,72.4,106500,100,51433,2.4,88.9,3,19,42992,23875,14.1,1788,19312,15112,20387,16182,241.7,525.8
Cass County,MN,28559,28567,0,5.6,21.1,23.8,49.3,85,0.4,12,0.4,0,2.3,1.7,84.1,3271,0.9,90.8,19.6,25302,4.2,80.8,177100,151,12906,2.18,91.2,3,22.9,45045,25287,16.4,1464,0,442,2767,9663,14.1,2021.54
Amelia County,VA,12855,12690,1.3,5.3,21.1,18.2,51.3,74.8,21.9,0.6,1.1,0.1,1.6,3.1,72.7,1082,1.2,78.9,14,5427,1.6,79.9,180700,40,4808,2.62,93.5,3.7,34.2,52885,25100,8.3,38,0,553,679,5368,35.7,355.27
Howard County,MD,309284,287085,7.7,6,24.6,12.2,51,60.4,18.6,0.4,16.9,0.1,3.6,6.4,55.4,18971,18.2,94.9,60,115311,24.7,73.9,428100,1446,106142,2.74,88.9,22.5,30.6,109865,48172,4.6,5656,23683,71708,45549,16622,1144.9,250.74
Montmorency County,MI,9300,9765,-4.8,3.6,15.2,29.4,49,97.4,0.4,0.6,0.2,0,1.4,1.3,96.2,1323,1,84.9,9.9,9548,1.7,85.8,93700,0,4128,2.29,89.5,2.4,26.1,35261,19661,18.1,78,0,0,701,6862,17.9,546.66
Culberson County,TX,2266,2398,-5.5,7.5,25.1,16.8,51.2,91,1.3,3.1,1.7,0,2.8,73.5,21.3,143,13,70.2,16.5,1153,5.6,63.4,46600,1,838,2.75,92.4,64,10.9,37105,16227,25.2,103,0,0,1062,42653,0.6,3812.8
Bamberg County,SC,15182,15987,-5,5.1,20.1,18.3,51.8,37,61.1,0.4,0.5,0.1,1,1.9,35.8,1329,1.8,75.5,17.5,7621,5.8,75.9,74700,10,5883,2.47,90,1.8,23.6,31483,18902,27.6,93,0,0,1028,6679,40.6,393.37
Hall County,TX,3147,3353,-6.1,5.4,23.6,23.6,51.2,89.4,7.5,1.5,0.4,0.1,1.1,34.4,57.5,231,12.4,71.8,14.1,1936,5.5,67.4,42700,0,1177,2.76,89,21.6,15.7,33006,19004,23.8,18,0,0,232,6817,3.8,883.49
Clay County,IA,16515,16667,-0.9,5.7,22.8,19.6,50.9,97.3,0.7,0.3,0.7,0,1,3.2,94.3,1360,2.2,93.1,18.4,8112,19.2,74.2,105400,14,7148,2.28,87.8,3.7,15.2,49035,29060,8.9,234,0,4251,2986,17960,29.4,567.24
Madison County,IN,130069,131636,-1.2,5.7,22.1,16.9,50.1,88.7,8.5,0.4,0.6,0.1,1.8,3.7,85.6,10329,2,87,16.7,58789,15.4,69.9,92800,92,50637,2.46,84,3.2,25.7,43120,21527,17.3,1551,10468,5742,12348,9433,291.3,451.92
Franklin County,IN,22934,23087,-0.7,5.7,24.7,15.6,49.8,98.1,0.4,0.2,0.6,0,0.7,1.1,97.1,1464,0.8,85.4,18.1,9563,7.1,79.4,150100,35,8551,2.67,91,1.9,31.4,49516,24085,13.5,284,0,186,1712,7407,60.1,384.43
LaGrange County,IN,38436,37128,3.5,9.6,33.6,12.6,49.6,98.2,0.5,0.3,0.4,0,0.7,3.9,94.5,1778,1.9,62.1,10.3,14378,6.7,78.9,160200,121,11833,3.13,91.3,40,22.5,47617,19356,16.5,338,16023,1045,2769,7498,97.8,379.62
Greenville County,SC,482752,451225,7,6.4,23.5,14.3,51.4,76.9,18.5,0.5,2.2,0.1,1.7,8.8,69.3,32427,8,85.7,31.2,200831,20.1,67,153600,3094,175149,2.56,84.6,11.4,21.5,49022,26643,15.8,8177,108214,115818,60366,13999,574.7,785.12
Lake of the Woods County,MN,3918,4045,-3.1,4.5,18.4,22,49.1,95.4,0.3,0.9,1.2,0,2.2,1.5,94.1,485,2.8,89.7,13.8,3680,2.7,88.2,121500,11,1665,2.37,86.5,2,17.9,44069,21903,7.9,203,0,116,398,9847,3.1,1297.87
Tipton County,IN,15415,15936,-3.3,4.3,21.4,19.3,50.1,98,0.5,0.3,0.5,0,0.8,2.6,95.6,1525,1.8,88.7,16.4,6969,8.3,77.2,108300,7,6622,2.36,90.1,3.2,24.4,52686,25093,9.4,98,3621,1416,1360,8473,61.2,260.54
Ogle County,IL,52085,53497,-2.6,5.2,23.1,17.2,50.3,96.7,1.1,0.4,0.6,0.1,1.2,9.6,87.7,4112,4.9,88.9,19.9,22545,12.9,76.1,149500,38,20745,2.53,90.4,7.2,24,54541,26635,11.3,433,11376,0,4543,8257,70.5,758.57
Dillon County,SC,31127,32062,-2.9,7.1,25.7,15,52.7,48.4,46.6,2.8,0.3,0,1.9,2.5,46.8,2045,2.5,70.6,8.2,13573,7.1,63.7,64400,19,11744,2.66,88.7,3.1,23,28817,14988,31.5,315,4325,3001,3817,12419,79.2,404.87
Hinds County,MS,243729,245285,-0.7,6.7,25.2,12.1,53.2,27.3,70.8,0.2,0.8,0,0.9,1.6,26.2,14001,1.9,85.1,27.4,104082,23.6,59.3,106400,611,87844,2.71,84.8,3.1,21.3,37626,20448,25.3,4037,14061,21188,29926,12021,282,869.74
Cuyahoga County,OH,1259828,1280122,-1.6,5.8,21.5,16.4,52.4,64.4,30.3,0.3,3,0,2,5.4,60.2,86580,7,87.5,29.7,618803,34.9,60.9,125700,719,534476,2.33,85.1,11.3,24.1,43804,27423,18.3,24991,231316,188944,144788,11193,2800,457.19
Jackson County,CO,1396,1394,0.1,3.4,17.8,20.9,46.7,95.9,0.1,1.7,0.4,0,1.9,11,86.3,145,3,88.7,22.2,1290,3.5,72.2,123200,0,648,2.08,87.8,7,18.9,43606,25936,8.9,24,0,0,193,14149,0.9,1613.72
Barnstable County,MA,214914,215888,-0.5,3.9,15.9,27.8,52.4,93.5,2.5,0.7,1.4,0.1,1.8,2.7,91.4,21360,6.8,94.5,39.1,161718,14.5,79,366700,640,95398,2.21,91.4,8.1,24.6,60526,36142,9.3,8909,5332,0,39732,17878,548.3,393.72
Whitman County,WA,46827,44776,4.6,4.7,15.2,10,48.9,85.1,2.3,0.7,7.7,0.3,3.9,5.6,80.3,2526,9.4,96.2,48.9,19964,40.2,46.2,182300,218,16624,2.35,65.4,12.4,15.4,36257,21208,32.6,489,0,3888,2710,6598,20.7,2159.09
Columbia County,NY,62122,63096,-1.5,4.3,18.5,20.9,49.8,90.6,5.2,0.3,1.8,0.1,2,4.5,87.1,5317,5.7,87.2,28.2,32838,16.9,72.4,221600,97,25280,2.38,90.6,6.9,25.7,57336,33613,9.8,651,6192,0,6383,10249,99.4,634.71
Langlade County,WI,19410,19977,-2.8,5,19.9,22.2,49.6,96.3,0.7,1.3,0.4,0,1.3,1.9,94.8,1902,1.6,88.1,13.2,12370,13.9,76.2,108000,98,8758,2.23,86.9,3.5,19.3,42389,22974,14.5,252,3722,4387,3092,15230,22.9,870.64
Johnson County,IA,142287,130882,8.7,6.2,20.4,9.9,50.2,85.4,5.9,0.3,6,0,2.4,5.5,80.6,6630,9.3,94.8,51.1,58783,34.8,59.7,186000,1080,54005,2.33,73.4,13.3,18.2,53424,29592,17.7,2587,0,5676,16530,13168,213.1,614.04
Piatt County,IL,16431,16729,-1.8,5.2,22.2,18.1,50.3,97.6,0.6,0.2,0.5,0,1.1,1.1,96.7,1324,1.3,92.7,26.5,7344,7.9,82.4,120800,20,6546,2.52,90.2,1.8,23.7,63027,31190,6.2,99,0,2639,1188,7220,38.1,439.2
Lonoke County,AR,71557,68356,4.7,6.7,26.4,12.6,50.5,90.4,6.2,0.7,0.9,0.1,1.8,4,86.8,7426,2.1,86.7,18.2,28618,9.3,73.2,120600,263,25052,2.74,85.3,2.5,25.6,52582,23218,13.2,463,0,1615,4972,7821,88.7,770.73
Clarke County,AL,24945,25833,-3.5,5.6,22.6,18,52.8,54,44.2,0.4,0.5,0,0.8,1.3,53.1,1583,0.3,78.3,11.2,12583,6.8,72.9,85600,11,9631,2.63,92.5,1.3,25.5,29357,18979,29.3,235,5714,858,3443,13034,20.9,1238.47
McLean County,ND,9578,8962,6.9,5.9,22,21.5,48.9,90.6,0.3,7.2,0.1,0,1.8,2.1,89.5,875,0.7,90.5,17.5,5927,8.9,77.5,117000,158,4021,2.23,89.5,4.2,21.3,53565,30992,10.9,71,0,2079,528,6332,4.2,2110.88
Storey County,NV,3912,4010,-2.4,2.2,12.5,27.8,48,91.8,1.6,2,2.1,0.4,1.9,7.8,84.6,630,3.9,93.9,21.5,1985,2.6,93.8,167700,6,1843,2.14,89.7,5.5,26.6,61573,33472,11,47,0,0,67,1580,15.3,262.92
Humboldt County,IA,9640,9815,-1.8,5.5,22.9,20.3,51,97.7,0.7,0.2,0.4,0,1,4,94.1,934,2,90.5,18.2,4684,11.7,76.7,84900,24,4222,2.28,87.3,3.2,17.2,47897,26746,10.2,74,2898,1830,820,8520,22.6,434.35
Pittsylvania County,VA,62383,63506,-1.7,4.3,19.9,20,50.9,76.3,21.7,0.3,0.5,0,1.3,2.4,74.2,5165,2.1,79.1,13.7,31435,3.9,79.7,109600,73,26092,2.38,91.2,2.9,26,42143,21583,14.5,152,7521,2476,2693,4421,65.5,968.94
Sawyer County,WI,16437,16557,-0.7,5.5,19.9,23.3,49.3,78.6,0.6,17.2,0.4,0,3.2,2.1,77.4,1662,1.3,89.7,22,16225,7.2,75.3,162500,82,7663,2.11,89.2,3.6,19.3,39904,23809,18.8,746,1809,502,2241,13223,13.2,1257.31
Bath County,KY,12206,11591,5.3,6.6,25.3,16,50.5,96.8,1.5,0.2,0.2,0.1,1.2,1.3,95.7,586,0.8,73.9,12,5384,6.2,79,65400,0,4447,2.61,82.1,1.3,25.7,30797,16367,28,0,0,0,515,4474,41.6,278.79
Emanuel County,GA,22755,22598,0.7,6.9,25.1,15.8,51.1,63.6,34.2,0.4,0.7,0,1,4.6,59.8,1357,1.3,76.5,11.6,9879,4.9,65.6,69900,7,8026,2.71,84.5,4.7,25.3,32046,17064,29.4,148,4484,933,1840,8160,33.2,680.6
Clackamas County,OR,394972,375992,5,5.3,22.2,16.2,50.8,90.2,1,1.1,4.2,0.3,3.2,8.4,83.1,30645,8.3,92.4,31.8,160781,20,68.8,300600,1480,146527,2.58,85.3,11.8,26.9,64352,32781,9.8,6074,56682,52924,50957,13567,201,1870.32
Grand Traverse County,MI,90782,86986,4.4,5.4,20.8,17.1,50.6,94.9,1.3,1.2,0.7,0.1,1.7,2.7,92.7,7144,2,93.3,30.4,42327,15.1,75.4,168300,384,34655,2.45,85.9,3.4,20.3,51766,27660,11.7,2377,11607,4249,15700,18415,187.3,464.33
McHenry County,ND,5988,5395,11,6.3,23.2,19,47.5,97.2,0.3,1.1,0.4,0,1,2.6,95,537,1.4,88.4,16.3,3084,6.6,77.5,77300,27,2573,2.14,91.5,4,28.1,45343,28331,14.2,10,0,0,371,7124,2.9,1873.95
Washington County,CO,4780,4814,-0.7,5.1,22,20.8,48.5,97,0.8,0.3,0.4,0.1,1.4,9.5,88,433,2.5,90.4,18.5,2414,7.2,73.3,110500,5,2019,2.27,82.2,5.5,20.6,44683,24977,13.1,15,0,426,230,5015,1.9,2518.03
Pueblo County,CO,161875,159063,1.8,6,23.2,17.1,50.7,90.8,2.5,3,1,0.2,2.5,42.5,52.9,15351,4,87.1,21.5,70054,15,65.7,138700,157,62439,2.49,82.1,14.6,20.4,41777,21940,19.1,2208,17058,4310,18645,12080,66.7,2386.1
Seminole County,GA,8686,8729,-0.5,5.6,21.8,21.8,52,64.6,33,0.2,0.8,0,1.3,2.9,62.3,644,1.4,81.2,12.2,4785,3.2,77,71200,4,3317,2.63,95.2,1.6,22.6,30521,17641,26,54,0,487,764,8485,37.1,235.23
James City County,VA,72583,67009,7.7,5.1,21,22.8,51.7,80.6,13.6,0.4,2.6,0.1,2.7,5.5,76,8923,7.2,93.5,45.8,31742,17.4,76.2,327100,709,26883,2.5,88.4,7.2,24.5,76960,39133,8.7,1643,15672,1400,6588,10752,470.4,142.44
Benton County,IN,8700,8854,-1.7,6.1,25.3,16.2,50.3,97.6,1,0.2,0.3,0,1,5.4,92.6,638,1.6,88.9,16,3921,8.4,74.4,84300,2,3444,2.53,84.2,4.7,24.9,48711,23049,11.1,25,0,0,508,5852,21.8,406.42
Hampton County,SC,20405,21090,-3.2,5.7,22.5,15.8,48.4,43.9,53.9,0.4,0.6,0,1.2,3.9,41.2,1347,1.9,75.8,11.4,9031,5.5,75.9,79400,9,7470,2.6,89.4,4.3,28.9,34233,19332,25.2,176,2803,919,1507,7146,37.7,559.9
Douglas County,WI,43698,44159,-1,5.3,20.6,16.3,50.1,93,1.2,2,0.9,0,2.8,1.4,91.9,3978,1.4,92.7,21.7,22892,20.7,67.8,130600,72,18933,2.25,86,3,20.6,45418,25129,15.1,765,13116,0,5044,11523,33.9,1304.14
Johnson County,WY,8573,8569,0,5.8,22,20.6,49.4,95.4,0.8,1.3,1,0,1.5,4.8,91.3,919,1.8,95,26.6,4530,11.9,74.1,228800,12,3679,2.31,90,2.2,24.6,57004,28072,7.5,207,0,0,717,8868,2.1,4154.15
Charlton County,GA,12897,12171,6,5.6,19,13.3,39.7,65,32,0.6,0.6,0,1.8,3.5,62.1,1247,7.6,74.3,9.4,4414,3.2,77.9,76100,7,3727,3.12,79.9,7.4,28.7,40111,17102,19.7,98,0,459,684,6460,15.7,773.58
Carter County,KY,27223,27720,-1.8,6.1,22.6,16.5,50.7,97.9,0.7,0.3,0.2,0,0.9,1.2,96.8,1647,0.4,75.5,10.4,12281,5.8,79.7,74500,2,10319,2.59,89,0.6,30.9,36406,19204,20.3,243,0,3062,2685,9831,67.7,409.5
Rankin County,MS,148070,141617,4.2,6.3,24.3,13.3,51.7,77.2,20.2,0.2,1.2,0.1,1.1,2.6,75,9765,2.4,88.9,28.5,58210,13,75.5,148900,573,53223,2.6,84.1,4.2,25.1,57380,26897,11.5,1977,18658,26295,22261,16103,182.6,775.49
Orleans County,VT,27082,27231,-0.5,4.9,20.1,20.3,49.8,96.7,0.7,0.6,0.4,0,1.5,1.3,95.6,2366,4.4,86.2,21.3,16560,14,77.4,156300,200,11043,2.39,88.5,6,22.8,41953,22303,15.4,363,0,733,3241,11858,39.3,693.27
Denver County,CO,663862,600158,10.6,6.8,20.9,10.9,50,80.7,10.2,2,3.8,0.2,3.1,30.8,53.4,34001,15.8,85.4,42.9,298864,45.7,50.2,249100,5958,266069,2.27,77.3,26.9,24.6,50313,33251,19.1,22790,51898,149209,68353,11810,3922.6,153
Emporia County,VA,5462,5927,-7.8,4.2,23.8,17.5,53.8,33.2,63.7,0.5,1.2,0.1,1.3,5.5,29.2,335,2.8,71.4,16,2608,23.3,45.5,104000,13,2488,2.23,84,3.5,19.6,32155,19710,29,242,3115,0,1316,23509,859.7,6.89
Martinsville County,VA,13711,13821,-0.8,7.5,23.3,20.4,54,51.4,45.1,0.4,1,0,2,4.8,47.6,1045,3.2,77.7,16.7,7162,26.3,53.7,86800,1,5995,2.22,81.1,5.2,17.8,28116,19900,27.2,287,2013,0,3169,21799,1261.5,10.96
Huron County,MI,32065,33118,-3.2,4.7,19.6,23.4,50.5,97.8,0.5,0.4,0.5,0,0.8,2.1,95.7,2670,1.7,86.9,13.7,21153,7.5,81.6,96100,47,13907,2.31,90.7,3.3,20.7,40204,22120,15.8,336,6473,2536,3231,9727,39.6,835.71
Surry County,VA,6790,7058,-3.9,4.5,18.2,19.1,50.7,53.5,43.8,0.4,0.4,0,1.8,1.7,52.3,702,1.1,77.8,16.7,3503,2.5,79.9,161600,25,2602,2.66,91.9,1.7,33.5,47292,22600,11.5,0,0,0,125,1780,25.3,278.95
Scotland County,NC,35576,36157,-1.6,6.5,23.5,16.1,50.8,46.4,39.2,11.4,0.8,0,2.2,2.9,44.6,2648,2,77.6,14.3,15146,12.6,63.6,77100,32,13047,2.63,87.7,3.2,21.5,29592,15679,32.3,327,10612,0,3616,9928,113.4,318.85
Wolfe County,KY,7214,7355,-1.9,6.1,23.7,17.8,50.5,98.5,0.3,0.3,0.1,0,0.7,0.7,97.8,419,0.2,66.3,11.8,3652,3.7,71.9,52800,0,2779,2.58,92,0,30.4,22574,14157,40.5,5,0,0,452,6355,33.1,222.17
Winston County,MS,18478,19198,-3.8,5.8,23.6,17.4,51,51.5,46.3,1.1,0.3,0,0.8,1.2,50.5,1102,0.5,79.5,15.8,8738,10.6,71.3,76300,32,7635,2.44,87.5,0.5,27.6,30821,18501,29.8,165,4833,1879,1831,9297,31.6,607.25
Rio Arriba County,NM,39777,40246,-1.2,7.1,24.3,16.5,50.8,78.4,0.9,18.1,0.7,0.2,1.8,71.6,13.1,2661,6,79.2,16.4,19544,3.1,79.2,133300,0,14783,2.68,91.6,62.6,26.3,40250,20014,21.2,667,0,0,3135,7689,6.9,5860.84
Columbia County,AR,23933,24552,-2.5,5.8,21.6,16.6,52,61.1,36.2,0.5,0.9,0,1.3,2.7,59.4,1508,2.9,85.4,20.3,11562,11.6,68.9,78900,49,9449,2.43,82.1,4.7,16.6,35128,19439,25.4,217,11642,0,1979,8143,32.1,766.05
Gallatin County,IL,5291,5589,-5.3,4.6,19.9,22.8,51.5,97.3,0.8,0.3,0.1,0,1.5,1.9,95.4,457,0.3,81.3,12,2725,5.7,78.3,61100,0,2369,2.32,89.4,0.4,24.5,40330,23862,17.2,0,0,231,218,3684,17.3,323.07
Terry County,TX,12739,12651,0.7,7.9,26.9,14.6,47.2,91.9,5.2,1.1,0.6,0,1.2,53.2,41.3,490,9.8,69.1,15.5,4860,7.2,72.2,64900,3,4067,2.83,79.7,35.9,20,37679,21201,14,99,0,873,1337,11012,14.2,888.84
Holmes County,OH,43898,42366,3.6,9.1,33.2,12.5,50.1,98.7,0.5,0.1,0.1,0,0.6,0.9,97.9,1554,0.8,55.2,8.5,13598,6.5,76,151400,4,12467,3.37,94.5,49.1,22.7,45477,17177,15.8,363,13664,2409,3603,8719,100.3,422.53
Oldham County,KY,63490,60316,5.3,4.6,26.2,11.7,47.5,91.8,4.4,0.5,1.6,0.1,1.5,3.8,88.7,4487,3.7,91.7,40.1,21203,7.1,84.8,245700,215,19532,2.89,88.8,5.6,26,83391,33591,6.8,471,2751,955,3747,6621,322.2,187.22
Santa Clara County,CA,1894605,1781642,6.3,6.5,23.1,12.2,49.7,56.4,2.9,1.3,34.9,0.5,4,26.6,33.3,66749,37.1,86.5,46.5,651156,33,57.5,645600,9932,609377,2.92,84.5,51.2,25,91702,41513,10.2,41475,450887,606440,264914,15367,1381,1290.1
Fredericksburg County,VA,28350,24286,18,7.2,20.3,10.1,54.5,68.4,24.1,0.8,3,0.1,3.7,10.9,60,1934,8.9,90.3,35.1,11469,47.5,38.1,314300,23,9779,2.38,70.4,11.8,25,47040,27222,18.6,1715,0,0,10521,47014,2326.2,10.44
Van Buren County,MI,75199,76258,-1.4,6.4,24.2,16,50.5,91.6,4.2,1.2,0.5,0,2.4,11.1,81.7,6290,4.5,85.3,17.9,36639,12,78,118700,81,28374,2.6,89.7,9.9,24.5,45129,21732,19.4,805,13128,0,5567,7145,125.5,607.47
Limestone County,AL,90787,82782,9.7,5.9,23.4,13.8,49.7,82,13.5,0.8,1.4,0.2,2.1,5.8,77.2,6964,4.3,81.5,22.7,35445,8.9,76.6,134500,140,31794,2.56,88.1,6.4,26.3,48619,25020,14.7,681,9472,2482,7232,9785,147.8,559.94
Hidalgo County,NM,4560,4894,-6.8,6.5,23.3,19.1,49.4,95.7,1.3,1.2,0.6,0.1,1.1,57.2,40.2,338,5.9,78,14.1,2384,5.4,66.4,76800,0,1837,2.57,88.7,37.1,17.3,34080,18392,24.3,98,0,0,1133,22609,1.4,3436.86
Lincoln Parish,LA,47617,46735,1.9,6,20.3,12.3,51.3,55,41.6,0.4,1.7,0.1,1.2,2.7,53,2587,4.8,85.1,34.4,19732,23.2,54.7,116900,74,16877,2.56,77.2,4.2,20.8,35769,20633,30.4,724,0,1712,5277,12361,99.1,471.74
Pope County,AR,63201,61754,2.3,6.2,22.8,14.4,50.1,92.4,3.2,1,1.2,0.1,2.1,8.4,84.8,4459,3.5,81.9,20.7,25915,14.2,69.8,110200,53,22603,2.63,83.4,6.9,19.5,40453,19918,19.3,794,14366,2344,9192,15530,76,812.55
Hampden County,MA,468161,463490,1,5.9,22.5,15.3,51.7,83.6,10.7,0.8,2.4,0.2,2.4,23.2,65,32603,9.3,83.7,24.5,191788,39.1,61.8,197900,313,177990,2.53,87.2,25.1,22.7,49094,25817,17.7,6617,60011,49918,56686,12119,751,617.14
Lincoln County,WI,28493,28743,-0.9,4.5,20.4,19.8,49.2,96.5,1.4,0.5,0.6,0,1,1.5,95.3,2671,1.2,88.4,14.5,16868,12.5,77.1,129100,77,12513,2.23,90.5,2.4,23.4,49021,24669,11.1,271,0,0,2894,9770,32.7,878.97
