County,State,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area
Polk County,TN,16730,16825,-0.6,4.7,20.6,19.4,50.2,97,0.7,0.5,0.3,0.1,1.4,1.7,95.7,1165,1.3,77.4,11.1,8370,3.3,79.4,109300,142,6740,2.44,89.6,3,29,39074,20274,17.3,87,0,0,676,4305,38.7,434.68
Broadwater County,MT,5667,5612,0.9,5,20.6,20.9,49.3,96.2,0.5,1.5,0.2,0.2,1.4,2.5,94,708,1.2,89.4,19.4,2697,3,80.7,174000,0,2421,2.32,85.7,1.2,25.3,45932,24270,10.5,57,0,103,592,12928,4.7,1192.54
Broomfield County,CO,62138,55889,11.2,6,24.7,12.2,50.4,88.8,1.4,0.8,6.3,0.1,2.5,12,78,3824,8.6,94.9,47.5,25900,25,68.3,275900,820,22016,2.59,81.1,13.8,26.2,77998,37442,7.1,1634,22554,0,11398,21240,1691.9,33.03
Vermillion County,IN,15693,16212,-3.2,5.3,22.2,18.6,50.6,98.1,0.4,0.3,0.2,0,0.9,1.1,97.2,1544,0.3,89.1,13,7480,7.6,78.2,75100,1,6466,2.45,91.1,2.2,24.4,42524,22875,15.8,163,0,0,1845,11296,63.1,256.88
Champaign County,IL,207133,201081,3,5.5,19.2,11.1,50.1,73.8,12.8,0.3,10.2,0.1,2.7,5.7,69.1,10682,11.7,93.6,42.4,89194,35.6,54.9,149500,1458,79137,2.35,72.9,15.9,17.6,45808,25713,22.3,3744,32489,25759,23470,12163,201.8,996.27
Lincoln County,KY,24445,24742,-1.2,6.2,23.7,16.7,51,95.8,2.4,0.2,0.2,0,1.4,1.5,94.4,1636,0.3,76.8,9.6,10851,7.3,75.6,88500,36,9692,2.52,86.1,1,27.5,33651,17420,25.4,94,0,0,1271,5053,74.1,334.1
Polk County,OR,77916,75403,3.3,5.8,23.3,17.1,51.7,90.9,0.8,2.5,2,0.3,3.4,13,79.5,6818,7.3,89.8,29,30607,20.6,65.4,217400,246,28239,2.62,82.3,12.8,24.5,52808,24426,16.5,0,4166,703,3750,5007,101.8,740.79
Monroe County,FL,77136,73090,5.5,4.6,15.3,20.5,47.5,89.8,6.6,0.4,1.3,0.1,1.8,22.4,68.6,7691,17.4,89.9,28,52935,23.6,61.7,381200,188,28503,2.54,84,22.9,18.8,53607,33974,13.5,7481,0,0,13876,18900,74.3,983.28
Polk County,AR,20225,20662,-2.1,5.9,23.4,21.7,50.8,94.5,0.5,2,0.6,0,2.4,6.4,88.6,2163,2.8,85.1,12.3,10034,5.3,77,82700,2,8069,2.53,88.1,4.7,20.3,32835,19116,23.1,144,3034,478,1768,8785,24.1,857.68
Hancock County,WV,30112,30676,-1.8,4.9,19.8,20.2,51.6,95.5,2.6,0.1,0.3,0,1.5,1.2,94.5,2842,1.1,87.9,15.7,14431,12.5,75.5,84700,16,12890,2.34,87,1.9,23.7,38522,23261,16.9,339,0,1179,2384,7934,371.3,82.61
Washington County,ME,31808,32856,-3.2,4.9,18.9,22,50.7,91.7,0.7,5.2,0.6,0,1.9,1.8,90.3,3639,3.6,87.2,20,23063,7.7,76.8,103500,41,14209,2.2,87.3,5.3,19.1,37236,20807,19.5,247,4441,790,4051,12360,12.8,2562.66
Mitchell County,TX,9076,9403,-3.5,5.3,20,13.8,39.9,84.1,11.9,1.5,0.7,0.1,1.7,39.2,48.5,625,6.4,75.3,8.3,4049,5.7,74.6,45800,5,2748,2.53,74.6,26.6,22.5,42045,15936,11.7,36,0,33,557,6003,10.3,911.09
Creek County,OK,70632,69967,1,6.2,24.2,16.9,50.5,80,2.4,10.4,0.4,0.1,6.7,3.7,77.3,5750,1.6,84.8,15.3,30013,6.2,74.8,105800,108,26296,2.64,88.9,3.1,24.1,43026,22327,14.7,434,12044,3845,5182,7529,73.6,950.14
McDuffie County,GA,21370,21875,-2.3,6.2,25.2,15.9,53.1,56.8,40.7,0.4,0.5,0.1,1.5,2.8,54.7,1112,1.2,74.6,13.7,9248,9,66,106100,19,8143,2.62,90.3,2.7,26.4,37487,17922,22.2,236,0,0,3503,16276,85,257.46
Caledonia County,VT,30981,31227,-0.8,4.8,20.4,17.8,50.3,96.3,0.8,0.5,0.8,0,1.5,1.5,95.1,2654,2.1,89.8,26.6,16032,19,73.4,164300,49,12491,2.4,87.2,3.4,23.1,45395,23584,14.1,299,3390,662,4127,13565,48.1,648.86
Morris County,NJ,499727,492276,1.5,5.1,22.3,15.4,51,84.2,3.6,0.3,10.1,0,1.7,12.8,72.5,23769,18.5,93.5,50,191473,25.4,75.9,432400,1591,179665,2.71,92.2,23.9,30,98633,48814,4.4,11297,76316,174400,87563,18032,1069.8,460.18
Will County,IL,685419,677560,1.2,6.1,26.7,11.2,50.4,80.6,11.8,0.4,5.4,0.1,1.8,16.6,65.3,34224,11.7,90.5,32.3,239824,12.3,82.9,219400,1185,222652,3.02,91.3,19.9,32.8,76147,30377,8,14049,136282,110617,68414,10211,809.6,836.91
Isanti County,MN,38413,37816,1.6,6,24.4,14.6,49.6,96,0.8,0.6,0.9,0.1,1.6,1.8,94.5,2995,1.1,91.6,16.5,15412,12.2,81.2,172000,170,13860,2.71,88,2.6,33.2,57353,25482,8,303,3177,0,4052,10414,86.8,435.79
