County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
Midland,Texas,1277,Republican,5.8,852,Democrat,34.6,0,Republican,0,0,Republican,0,4561,Republican,20.9,1551,Democrat,63,0,Republican,0,597,Republican,2.7,3438,Republican,15.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,10474,Republican,47.9,0,,0,0,,0
Mapleton,Maine,0,Republican,0,2,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,2,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Glenwood Plt.,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
LeFlore,Oklahoma,194,Republican,6.4,2283,Democrat,50.5,0,Republican,0,0,Republican,0,949,Republican,31.1,1498,Democrat,33.1,0,Republican,0,52,Republican,1.7,509,Republican,16.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1298,Republican,42.5,0,,0,0,,0
Warren,Rhode Island,0,Republican,0,807,Democrat,58.4,0,Republican,0,0,Republican,0,383,Republican,63.5,555,Democrat,40.2,0,Republican,0,144,Republican,23.9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,68,Republican,11.3,0,,0,0,,0
Martin,North Carolina,0,Republican,0,1097,Democrat,27.4,0,Republican,0,0,Republican,0,793,Republican,42.4,2469,Democrat,61.8,0,Republican,0,92,Republican,4.9,83,Republican,4.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,863,Republican,46.1,0,,0,0,,0
Berks,Pennsylvania,0,Republican,0,21518,Democrat,50.7,0,Republican,0,0,Republican,0,28719,Republican,59.8,20470,Democrat,48.3,0,Republican,0,7919,Republican,16.5,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,10343,Republican,21.5,0,,0,0,,0
Little River,Arkansas,87,Republican,6.5,441,Democrat,32.5,0,Republican,0,0,Republican,0,521,Republican,38.8,721,Democrat,53.1,0,Republican,0,15,Republican,1.1,187,Republican,13.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,488,Republican,36.3,0,,0,0,,0
Abbot,Maine,0,Republican,0,1,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Sheridan-Big Horn,Wyoming,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,30,Republican,40,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,45,Republican,60,0,,0,0,,0
