County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
Clay,Indiana,0,Republican,0,1049,Democrat,53,0,Republican,0,0,Republican,0,3615,Republican,62.8,931,Democrat,47,0,Republican,0,212,Republican,3.7,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1788,Republican,31.1,0,,0,0,,0
Monroe,Maine,0,Republican,0,3,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Rocky Hill,Connecticut,0,Republican,0,928,Democrat,47.4,0,Republican,0,0,Republican,0,758,Republican,60.8,982,Democrat,50.1,0,Republican,0,326,Republican,26.1,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,140,Republican,11.2,0,,0,0,,0
Hardin,Ohio,0,Republican,0,669,Democrat,45.7,0,Republican,0,0,Republican,0,1953,Republican,36.4,771,Democrat,52.6,0,Republican,0,2265,Republican,42.2,107,Republican,2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,917,Republican,17.1,0,,0,0,,0
Texas,Oklahoma,301,Republican,11.4,393,Democrat,46.7,0,Republican,0,0,Republican,0,777,Republican,29.5,267,Democrat,31.7,0,Republican,0,57,Republican,2.2,400,Republican,15.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1036,Republican,39.4,0,,0,0,,0
Jay,Indiana,0,Republican,0,704,Democrat,50.4,0,Republican,0,0,Republican,0,2194,Republican,53.7,692,Democrat,49.6,0,Republican,0,289,Republican,7.1,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1475,Republican,36.1,0,,0,0,,0
Okeechobee,Florida,0,Republican,0,784,Democrat,37.6,0,Republican,0,0,Republican,0,2202,Republican,58.5,1150,Democrat,55.2,0,Republican,0,149,Republican,4,731,Republican,19.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,574,Republican,15.3,0,,0,0,,0
Sumter,Georgia,235,Republican,7.8,404,Democrat,17,0,Republican,0,0,Republican,0,1381,Republican,45.9,1960,Democrat,82.4,0,Republican,0,115,Republican,3.8,548,Republican,18.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,690,Republican,22.9,0,,0,0,,0
McCreary,Kentucky,0,Republican,0,203,Democrat,50.4,0,Republican,0,0,Republican,0,725,Republican,54,169,Democrat,41.9,0,Republican,0,111,Republican,8.3,132,Republican,9.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,345,Republican,25.7,0,,0,0,,0
St. Albans,Vermont,19,Republican,4.3,906,Democrat,86,0,Republican,0,0,Republican,0,121,Republican,27.1,115,Democrat,10.9,0,Republican,0,130,Republican,29.1,109,Republican,24.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,47,Republican,10.5,0,,0,0,,0
Bedford,Massachusetts,44,Republican,2.5,1356,Democrat,44.4,0,Republican,0,0,Republican,0,654,Republican,36.9,1675,Democrat,54.8,0,Republican,0,499,Republican,28.2,351,Republican,19.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,178,Republican,10.1,14,,0.5,0,,0
Moody,South Dakota,0,Republican,0,207,Democrat,44.1,0,Republican,0,0,Republican,0,196,Republican,61.3,262,Democrat,55.9,0,Republican,0,52,Republican,16.3,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,72,Republican,22.5,0,,0,0,,0
Talbot,Georgia,54,Republican,7.8,120,Democrat,12.2,0,Republican,0,0,Republican,0,368,Republican,53.5,852,Democrat,86.7,0,Republican,0,24,Republican,3.5,73,Republican,10.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,162,Republican,23.5,0,,0,0,,0
St. Charles,Missouri,0,Republican,0,21593,Democrat,54.3,0,Republican,0,0,Republican,0,30489,Republican,41.5,17805,Democrat,44.8,0,Republican,0,7861,Republican,10.7,5213,Republican,7.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,28554,Republican,38.9,0,,0,0,,0
Hancock,Georgia,29,Republican,7,145,Democrat,11.4,0,Republican,0,0,Republican,0,229,Republican,55.4,1112,Democrat,87.4,0,Republican,0,19,Republican,4.6,63,Republican,15.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,61,Republican,14.8,0,,0,0,,0
Brown,Nebraska,0,Republican,0,7,Democrat,53.8,0,Republican,0,0,Republican,0,555,Republican,77,6,Democrat,46.2,0,Republican,0,33,Republican,4.6,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,79,Republican,11,0,,0,0,,0
Waller,Texas,190,Republican,3.2,557,Democrat,30.8,0,Republican,0,0,Republican,0,1675,Republican,27.8,1221,Democrat,67.5,0,Republican,0,95,Republican,1.6,542,Republican,9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,3391,Republican,56.3,0,,0,0,,0
Mendocino,California,0,Republican,0,4654,Democrat,62.9,0,Republican,0,0,Republican,0,1769,Republican,77.2,2690,Democrat,36.4,0,Republican,0,221,Republican,9.7,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,165,Republican,7.2,0,,0,0,,0
Stonington,Maine,0,Republican,0,2,Democrat,66.7,0,Republican,0,0,Republican,0,0,Republican,0,1,Democrat,33.3,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Staunton,Virginia,249,Republican,7.8,1364,Democrat,54.8,0,Republican,0,0,Republican,0,998,Republican,31.3,1114,Democrat,44.8,0,Republican,0,270,Republican,8.5,1025,Republican,32.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,606,Republican,19,0,,0,0,,0
Swanton,Vermont,23,Republican,3.6,818,Democrat,90.2,0,Republican,0,0,Republican,0,279,Republican,43.2,85,Democrat,9.4,0,Republican,0,143,Republican,22.1,123,Republican,19,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,53,Republican,8.2,0,,0,0,,0
Clinton,Massachusetts,58,Republican,4.5,1207,Democrat,53.2,0,Republican,0,0,Republican,0,675,Republican,52,1009,Democrat,44.4,0,Republican,0,152,Republican,11.7,233,Republican,17.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,138,Republican,10.6,24,,1.1,0,,0
Baraga,Michigan,0,Republican,0,371,Democrat,55.5,0,Republican,0,0,Republican,0,468,Republican,44.4,270,Democrat,40.4,0,Republican,0,197,Republican,18.7,96,Republican,9.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,239,Republican,22.7,0,,0,0,,0
Raymond,Maine,0,Republican,0,8,Democrat,66.7,0,Republican,0,0,Republican,0,0,Republican,0,4,Democrat,33.3,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Topsham,Vermont,5,Republican,5.1,138,Democrat,93.9,0,Republican,0,0,Republican,0,41,Republican,41.4,6,Democrat,4.1,0,Republican,0,28,Republican,28.3,17,Republican,17.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,7,Republican,7.1,0,,0,0,,0
Lincoln,Oklahoma,357,Republican,7.1,1623,Democrat,53.8,0,Republican,0,0,Republican,0,1593,Republican,31.9,1161,Democrat,38.5,0,Republican,0,104,Republican,2.1,965,Republican,19.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1908,Republican,38.2,0,,0,0,,0
Kingfisher,Oklahoma,149,Republican,5.3,472,Democrat,58.5,0,Republican,0,0,Republican,0,861,Republican,30.6,268,Democrat,33.2,0,Republican,0,59,Republican,2.1,734,Republican,26.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,958,Republican,34.1,0,,0,0,,0
Gonzales,Texas,93,Republican,2.8,129,Democrat,25.3,0,Republican,0,0,Republican,0,984,Republican,29.3,368,Democrat,72.3,0,Republican,0,77,Republican,2.3,357,Republican,10.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1698,Republican,50.5,0,,0,0,,0
Rusk,Texas,459,Republican,4.7,276,Democrat,19.4,0,Republican,0,0,Republican,0,2551,Republican,26.4,1114,Democrat,78.1,0,Republican,0,225,Republican,2.3,864,Republican,8.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4884,Republican,50.5,0,,0,0,,0
Cole,Missouri,0,Republican,0,3303,Democrat,53.5,0,Republican,0,0,Republican,0,5553,Republican,37.7,2798,Democrat,45.3,0,Republican,0,1587,Republican,10.8,1065,Republican,7.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,6159,Republican,41.8,0,,0,0,,0
Swansea,Massachusetts,53,Republican,3.3,1055,Democrat,48.5,0,Republican,0,0,Republican,0,951,Republican,58.6,1064,Democrat,48.9,0,Republican,0,199,Republican,12.3,236,Republican,14.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,156,Republican,9.6,39,,1.8,0,,0
Butler,Missouri,0,Republican,0,766,Democrat,45.4,0,Republican,0,0,Republican,0,3652,Republican,50.5,889,Democrat,52.7,0,Republican,0,427,Republican,5.9,324,Republican,4.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,2676,Republican,37,0,,0,0,,0
Davison,South Dakota,0,Republican,0,440,Democrat,44.8,0,Republican,0,0,Republican,0,808,Republican,68.2,542,Democrat,55.2,0,Republican,0,214,Republican,18.1,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,163,Republican,13.8,0,,0,0,,0
McKean,Pennsylvania,0,Republican,0,1167,Democrat,52.7,0,Republican,0,0,Republican,0,3845,Republican,63.8,1013,Democrat,45.7,0,Republican,0,927,Republican,15.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1108,Republican,18.4,0,,0,0,,0
Shelby,Tennessee,4092,Republican,5.9,15985,Democrat,19.3,0,Republican,0,0,Republican,0,20715,Republican,29.9,66465,Democrat,80.1,0,Republican,0,5187,Republican,7.5,18248,Republican,26.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,19727,Republican,28.5,0,,0,0,,0
Benton,Tennessee,123,Republican,5.5,287,Democrat,32.5,0,Republican,0,0,Republican,0,1154,Republican,51.9,560,Democrat,63.5,0,Republican,0,73,Republican,3.3,278,Republican,12.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,569,Republican,25.6,0,,0,0,,0
Tolland,Massachusetts,1,Republican,1.1,37,Democrat,59.7,0,Republican,0,0,Republican,0,54,Republican,60,24,Democrat,38.7,0,Republican,0,13,Republican,14.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,12,Republican,13.3,0,,0,0,,0
East Feliciana,Louisiana,0,Republican,0,347,Democrat,14.6,0,Republican,0,0,Republican,0,706,Republican,43.7,1847,Democrat,77.6,0,Republican,0,60,Republican,3.7,141,Republican,8.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,650,Republican,40.3,0,,0,0,,0
Archer,Texas,151,Republican,6.1,64,Democrat,38.1,0,Republican,0,0,Republican,0,707,Republican,28.6,99,Democrat,58.9,0,Republican,0,45,Republican,1.8,266,Republican,10.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1215,Republican,49.2,0,,0,0,,0
New Fairfield,Connecticut,0,Republican,0,475,Democrat,52.1,0,Republican,0,0,Republican,0,865,Republican,65.5,425,Democrat,46.7,0,Republican,0,287,Republican,21.7,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,146,Republican,11.1,0,,0,0,,0
Wellfleet,Massachusetts,8,Republican,3.1,616,Democrat,57.6,0,Republican,0,0,Republican,0,134,Republican,52.1,451,Democrat,42.1,0,Republican,0,58,Republican,22.6,32,Republican,12.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,17,Republican,6.6,1,,0.1,0,,0
Dare,North Carolina,0,Republican,0,2307,Democrat,48.9,0,Republican,0,0,Republican,0,2650,Republican,50.1,2003,Democrat,42.5,0,Republican,0,827,Republican,15.6,442,Republican,8.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1156,Republican,21.9,0,,0,0,,0
Winter Harbor,Maine,0,Republican,0,1,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Douglas,Missouri,0,Republican,0,384,Democrat,58.1,0,Republican,0,0,Republican,0,1657,Republican,52.8,268,Democrat,40.5,0,Republican,0,133,Republican,4.2,93,Republican,3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1155,Republican,36.8,0,,0,0,,0
Colquitt,Georgia,509,Republican,8.5,302,Democrat,22.2,0,Republican,0,0,Republican,0,2967,Republican,49.6,1035,Democrat,76.1,0,Republican,0,199,Republican,3.3,773,Republican,12.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1398,Republican,23.4,0,,0,0,,0
Granby,Vermont,0,Republican,0,13,Democrat,86.7,0,Republican,0,0,Republican,0,6,Republican,40,2,Democrat,13.3,0,Republican,0,0,Republican,0,7,Republican,46.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Wilkinson,Georgia,115,Republican,9,155,Democrat,15.5,0,Republican,0,0,Republican,0,611,Republican,47.6,832,Democrat,83.3,0,Republican,0,34,Republican,2.6,166,Republican,12.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,333,Republican,25.9,0,,0,0,,0
Chester,Pennsylvania,0,Republican,0,26046,Democrat,44,0,Republican,0,0,Republican,0,35577,Republican,46.8,32985,Democrat,55.7,0,Republican,0,23855,Republican,31.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,14996,Republican,19.7,0,,0,0,,0
Gosnold,Massachusetts,0,Republican,0,9,Democrat,64.3,0,Republican,0,0,Republican,0,9,Republican,40.9,5,Democrat,35.7,0,Republican,0,9,Republican,40.9,2,Republican,9.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1,Republican,4.5,0,,0,0,,0
Butler,Ohio,0,Republican,0,11102,Democrat,46,0,Republican,0,0,Republican,0,27211,Republican,39.6,12874,Democrat,53.4,0,Republican,0,28606,Republican,41.6,1676,Republican,2.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,9988,Republican,14.5,0,,0,0,,0
Lincoln,Wyoming,0,Republican,0,3,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,3,Democrat,50,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Posey,Indiana,0,Republican,0,1378,Democrat,55.2,0,Republican,0,0,Republican,0,3159,Republican,59.8,1117,Democrat,44.8,0,Republican,0,322,Republican,6.1,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1696,Republican,32.1,0,,0,0,,0
Lee,Massachusetts,18,Republican,5.5,587,Democrat,52.6,0,Republican,0,0,Republican,0,133,Republican,40.8,515,Democrat,46.1,0,Republican,0,52,Republican,16,71,Republican,21.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,40,Republican,12.3,11,,1,0,,0
Riverside,California,0,Republican,0,47988,Democrat,39,0,Republican,0,0,Republican,0,82814,Republican,82,73724,Democrat,59.9,0,Republican,0,7502,Republican,7.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,7232,Republican,7.2,0,,0,0,,0
Rogers,Oklahoma,956,Republican,6.1,3757,Democrat,52.9,0,Republican,0,0,Republican,0,4807,Republican,30.6,2810,Democrat,39.6,0,Republican,0,375,Republican,2.4,3545,Republican,22.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,5850,Republican,37.2,0,,0,0,,0
Lamoine,Maine,0,Republican,0,3,Democrat,60,0,Republican,0,0,Republican,0,0,Republican,0,2,Democrat,40,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Fannin,Texas,252,Republican,4.4,277,Democrat,34.6,0,Republican,0,0,Republican,0,1831,Republican,31.7,505,Democrat,63,0,Republican,0,128,Republican,2.2,551,Republican,9.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,2818,Republican,48.9,0,,0,0,,0
Foxborough,Massachusetts,69,Republican,2.7,1505,Democrat,52,0,Republican,0,0,Republican,0,1246,Republican,48.7,1347,Democrat,46.6,0,Republican,0,393,Republican,15.4,532,Republican,20.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,255,Republican,10,21,,0.7,0,,0
Union,Oregon,0,Republican,0,1342,Democrat,59.1,0,Republican,0,0,Republican,0,2869,Republican,69,929,Democrat,40.9,0,Republican,0,485,Republican,11.7,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,806,Republican,19.4,0,,0,0,,0
York,Maine,0,Republican,0,25,Democrat,59.5,0,Republican,0,0,Republican,0,0,Republican,0,17,Democrat,40.5,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Pasco,Florida,0,Republican,0,14493,Democrat,38.9,0,Republican,0,0,Republican,0,33536,Republican,51,21760,Democrat,58.3,0,Republican,0,3830,Republican,5.8,13836,Republican,21,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,12409,Republican,18.9,0,,0,0,,0
Ashfield,Massachusetts,6,Republican,4.7,469,Democrat,69.6,0,Republican,0,0,Republican,0,44,Republican,34.4,204,Democrat,30.3,0,Republican,0,41,Republican,32,23,Republican,18,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,10,Republican,7.8,0,,0,0,,0
Pointe Coupee,Louisiana,0,Republican,0,352,Democrat,16.1,0,Republican,0,0,Republican,0,472,Republican,44.7,1680,Democrat,76.7,0,Republican,0,39,Republican,3.7,120,Republican,11.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,400,Republican,37.8,0,,0,0,,0
Palm Beach,Florida,0,Republican,0,39314,Democrat,27.2,0,Republican,0,0,Republican,0,66065,Republican,52.1,103369,Democrat,71.5,0,Republican,0,11937,Republican,9.4,30836,Republican,24.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,15311,Republican,12.1,0,,0,0,,0
Isle La Motte,Vermont,0,Republican,0,135,Democrat,88.8,0,Republican,0,0,Republican,0,44,Republican,52.4,15,Democrat,9.9,0,Republican,0,12,Republican,14.3,10,Republican,11.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,12,Republican,14.3,0,,0,0,,0
Island Falls,Maine,0,Republican,0,2,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Johnson,Vermont,11,Republican,6.4,460,Democrat,92.7,0,Republican,0,0,Republican,0,51,Republican,29.5,35,Democrat,7.1,0,Republican,0,42,Republican,24.3,47,Republican,27.2,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,18,Republican,10.4,0,,0,0,,0
Fountain,Indiana,0,Republican,0,462,Democrat,52.8,0,Republican,0,0,Republican,0,2742,Republican,61.5,413,Democrat,47.2,0,Republican,0,234,Republican,5.2,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1301,Republican,29.2,0,,0,0,,0
Franklin,Vermont,6,Republican,4.1,173,Democrat,91.5,0,Republican,0,0,Republican,0,56,Republican,38.6,16,Democrat,8.5,0,Republican,0,40,Republican,27.6,19,Republican,13.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,18,Republican,12.4,0,,0,0,,0
Chaffee,Colorado,0,Republican,0,404,Democrat,65.2,0,Republican,0,0,Republican,0,0,Republican,0,210,Democrat,33.9,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Webster,Missouri,0,Republican,0,1170,Democrat,54.8,0,Republican,0,0,Republican,0,3041,Republican,37.8,940,Democrat,44,0,Republican,0,397,Republican,4.9,306,Republican,3.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4124,Republican,51.3,0,,0,0,,0
Dawson,Georgia,311,Republican,5.3,268,Democrat,45.5,0,Republican,0,0,Republican,0,2649,Republican,45.4,312,Democrat,53,0,Republican,0,266,Republican,4.6,1094,Republican,18.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1465,Republican,25.1,0,,0,0,,0
Valencia,New Mexico,0,Republican,0,2877,Democrat,48,0,Republican,0,0,Republican,0,2614,Republican,70.5,3123,Democrat,52.1,0,Republican,0,218,Republican,5.9,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,590,Republican,15.9,0,,0,0,,0
Tinmouth,Vermont,5,Republican,5.2,136,Democrat,87.2,0,Republican,0,0,Republican,0,39,Republican,40.6,20,Democrat,12.8,0,Republican,0,22,Republican,22.9,21,Republican,21.9,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,9,Republican,9.4,0,,0,0,,0
Pittston,Maine,0,Republican,0,5,Democrat,71.4,0,Republican,0,0,Republican,0,0,Republican,0,2,Democrat,28.6,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Shackelford,Texas,53,Republican,4.6,14,Democrat,46.7,0,Republican,0,0,Republican,0,363,Republican,31.4,15,Democrat,50,0,Republican,0,25,Republican,2.2,97,Republican,8.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,560,Republican,48.4,0,,0,0,,0
La Crosse,Wisconsin,0,Republican,0,15139,Democrat,62.8,0,Republican,0,0,Republican,0,8271,Republican,41.5,8901,Democrat,36.9,0,Republican,0,3629,Republican,18.2,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,7441,Republican,37.3,0,,0,0,,0
Amherst,Maine,0,Republican,0,1,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
District 23,North Dakota,0,Republican,0,2,Democrat,20,0,Republican,0,0,Republican,0,0,Republican,0,7,Democrat,70,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Camp,Texas,107,Republican,5.4,134,Democrat,21.2,0,Republican,0,0,Republican,0,640,Republican,32.4,484,Democrat,76.6,0,Republican,0,45,Republican,2.3,264,Republican,13.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,863,Republican,43.6,0,,0,0,,0
Victoria,Texas,452,Republican,3.7,1118,Democrat,32.7,0,Republican,0,0,Republican,0,3427,Republican,28,2205,Democrat,64.5,0,Republican,0,349,Republican,2.9,1773,Republican,14.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,5750,Republican,47,0,,0,0,,0
Belmont,Maine,0,Republican,0,2,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Cornwall,Vermont,3,Republican,2.2,290,Democrat,78.6,0,Republican,0,0,Republican,0,31,Republican,22.3,78,Democrat,21.1,0,Republican,0,54,Republican,38.8,34,Republican,24.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,12,Republican,8.6,0,,0,0,,0
Old Saybrook,Connecticut,0,Republican,0,570,Democrat,45.3,0,Republican,0,0,Republican,0,649,Republican,55.9,678,Democrat,53.9,0,Republican,0,386,Republican,33.2,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,101,Republican,8.7,0,,0,0,,0
Industry,Maine,0,Republican,0,2,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Groton,Connecticut,0,Republican,0,1536,Democrat,52.9,0,Republican,0,0,Republican,0,991,Republican,54.1,1332,Democrat,45.9,0,Republican,0,561,Republican,30.6,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,226,Republican,12.3,0,,0,0,,0
Arenac,Michigan,0,Republican,0,663,Democrat,51.4,0,Republican,0,0,Republican,0,1141,Republican,51.3,595,Democrat,46.1,0,Republican,0,328,Republican,14.7,178,Republican,8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,472,Republican,21.2,0,,0,0,,0
Washburn,Wisconsin,0,Republican,0,1417,Democrat,56.8,0,Republican,0,0,Republican,0,1926,Republican,49.7,1059,Democrat,42.4,0,Republican,0,443,Republican,11.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1359,Republican,35.1,0,,0,0,,0
Westford,Massachusetts,83,Republican,2.1,2389,Democrat,52.5,0,Republican,0,0,Republican,0,1560,Republican,40.4,2124,Democrat,46.7,0,Republican,0,932,Republican,24.1,880,Republican,22.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,322,Republican,8.3,18,,0.4,0,,0
Mackinac,Michigan,0,Republican,0,633,Democrat,55.5,0,Republican,0,0,Republican,0,856,Republican,43.2,500,Democrat,43.9,0,Republican,0,416,Republican,21,172,Republican,8.7,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,439,Republican,22.2,0,,0,0,,0
